,timeOpen,open,close,volume,marketCap,timestamp,high,low
0,2016-12-23T00:00:00.000Z,3.71585989,4.6553301811,15539100.0,228149363.477,2016-12-23T23:59:59.999Z,4.6553301811,3.7096300125
1,2016-12-24T00:00:00.000Z,4.646490097,4.5515398979,19773600.0,223125158.056,2016-12-24T23:59:59.999Z,4.7720098495,4.4163098335
2,2016-12-25T00:00:00.000Z,4.5554499626,4.347219944,11363100.0,213168342.133,2016-12-25T23:59:59.999Z,4.5680098534,4.2217497826
3,2016-12-26T00:00:00.000Z,4.3465399742,4.3554801941,7603100.0,213643934.587,2016-12-26T23:59:59.999Z,4.4735298157,4.2771601677
4,2016-12-27T00:00:00.000Z,4.3685698509,4.469399929,9294450.0,219307108.086,2016-12-27T23:59:59.999Z,4.5759601593,4.3277797699
5,2016-12-28T00:00:00.000Z,4.487569809,4.5713500977,10319300.0,224386448.42,2016-12-28T23:59:59.999Z,4.666659832,4.487569809
6,2016-12-29T00:00:00.000Z,4.5788598061,4.5554800034,9352850.0,223676934.522,2016-12-29T23:59:59.999Z,4.6283597946,4.5092101097
7,2016-12-30T00:00:00.000Z,4.5624899864,4.3905200958,11912800.0,215644689.203,2016-12-30T23:59:59.999Z,4.5648398399,4.2873702049
8,2016-12-31T00:00:00.000Z,4.3923301697,4.3252902031,9210720.0,212503138.053,2016-12-31T23:59:59.999Z,4.4037699699,4.2869300842
9,2017-01-01T00:00:00.000Z,4.3291201591,4.511590004,11337500.0,221718274.859,2017-01-01T23:59:59.999Z,4.5215301514,4.3287100792
10,2017-01-02T00:00:00.000Z,4.5204501152,4.6489400864,14595300.0,228536447.639,2017-01-02T23:59:59.999Z,4.7376599312,4.4846601486
11,2017-01-03T00:00:00.000Z,4.6558799744,4.6262001991,10055700.0,227483920.937,2017-01-03T23:59:59.999Z,4.7318401337,4.5648698807
12,2017-01-04T00:00:00.000Z,4.6337499619,4.8378500938,13762400.0,237966484.325,2017-01-04T23:59:59.999Z,4.8378500938,4.6337499619
13,2017-01-05T00:00:00.000Z,4.91437006,4.292719841,19196000.0,211212252.077,2017-01-05T23:59:59.999Z,4.9458599091,4.22687006
14,2017-01-06T00:00:00.000Z,4.3024001122,3.8612599373,11063700.0,190038394.909,2017-01-06T23:59:59.999Z,4.351650238,3.8413500786
15,2017-01-07T00:00:00.000Z,3.8633899689,3.9558799267,14628400.0,194746307.951,2017-01-07T23:59:59.999Z,3.9558799267,3.6135900021
