,id,name,symbol,is_active
187,1241,FuzzBalls,FUZZ,1
188,1244,HiCoin,XHI,1
189,1247,AquariusCoin,ARCO,1
190,1248,Bitcoin 21,XBTC21,1
191,1250,Zurcoin,ZUR,1
192,1252,2GIVE,2GIVE,1
193,1254,PlatinumBAR,XPTX,1
194,1257,LanaCoin,LANA,1
195,1259,PonziCoin,PONZI,1
196,1273,Citadel,CTL,1
197,1274,Waves,WAVES,1
198,1279,PWR Coin,PWR,1
199,1281,ION,ION,1
200,1282,High Voltage,HVCO,1
201,1285,GoldBlocks,GB,1
202,1291,Comet,CMT,1
203,1294,Rise,RISE,1
204,1297,ChessCoin,CHESS,1
205,1298,LBRY Credits,LBC,1
206,1299,PUTinCoin,PUT,1
207,1306,Cryptojacks,CJ,1
208,1312,Steem Dollars,SBD,1
209,1320,Ardor,ARDR,1
210,1321,Ethereum Classic,ETC,1
211,1340,Karbo,KRB,1
212,1343,Stratis,STRAX,1
213,1351,Aces,ACES,1
214,1353,TajCoin,TAJ,1
215,1368,Veltor,VLT,1
216,1376,Neo,NEO,1
217,1382,NoLimitCoin,NLC,1
218,1389,Zayedcoin,ZYD,1
219,1392,Pluton,PLU,1
220,1395,Dollarcoin,DLC,1
221,1396,MustangCoin,MST,1
222,1414,Firo,FIRO,1
223,1437,Zcash,ZEC,1
224,1439,AllSafe,ASAFE,1
225,1447,ZClassic,ZCL,1
226,1455,Golem,GLM,1
227,1466,Hush,HUSH,1
228,1468,Kurrent,KURT,1
229,1473,Pascal,PASC,1
230,1474,Eternity,ENT,1
231,1492,Obyte,GBYTE,1
232,1495,PoSW Coin,POSW,1
233,1500,Wings,WINGS,1
234,1503,Jupiter,JUP,1
235,1505,Alias,ALIAS,1
236,1511,PureVidz,VIDZ,1
237,1514,ICOBID,ICOB,1
238,1515,iBank,IBANK,1
239,1518,Maker,MKR,1
240,1521,Komodo,KMD,1
241,1522,FirstCoin,FRST,1
242,1528,Iconic,ICON,1
243,1546,Centurion,CNT,1
244,1552,Enzyme,MLN,1
245,1556,Chrono.tech,TIME,1
246,1558,Argus,ARGUS,1
247,1562,Swarm City,SWT,1
