,timeOpen,open,close,volume,marketCap,timestamp,high,low
0,2020-08-20T00:00:00.000Z,2.7878572758,2.9000802145,48819867.3511282,0.0,2020-08-20T23:59:59.999Z,3.0777837128,2.6928957061
1,2020-08-21T00:00:00.000Z,2.8969232856,2.8750282692,49313136.825242,0.0,2020-08-21T23:59:59.999Z,3.0900926678,2.730918684
2,2020-08-22T00:00:00.000Z,2.8785700433,4.4846901434,485801095.84575,0.0,2020-08-22T23:59:59.999Z,4.510613389,2.8167618534
3,2020-08-23T00:00:00.000Z,4.4870583649,3.9670656921,320749483.243806,0.0,2020-08-23T23:59:59.999Z,4.4870583649,3.7162710539
4,2020-08-24T00:00:00.000Z,3.9874134923,4.6026141518,407690170.881454,0.0,2020-08-24T23:59:59.999Z,4.78315824,3.8126695191
5,2020-08-25T00:00:00.000Z,4.5849532461,5.5233930074,898847538.456415,0.0,2020-08-25T23:59:59.999Z,5.7607753502,4.5012227457
6,2020-08-26T00:00:00.000Z,5.5414058559,6.0817164688,1054351759.40317,0.0,2020-08-26T23:59:59.999Z,6.5546882614,5.1362052955
7,2020-08-27T00:00:00.000Z,6.0757722377,5.628337353,1289248953.26494,0.0,2020-08-27T23:59:59.999Z,6.7891799136,5.3139262726
8,2020-08-28T00:00:00.000Z,5.6394855723,6.1599547584,727162235.007699,0.0,2020-08-28T23:59:59.999Z,6.3337460612,5.5409630011
9,2020-08-29T00:00:00.000Z,6.1759246504,6.159143225,527290028.288721,0.0,2020-08-29T23:59:59.999Z,6.5629058291,6.0423088269
10,2020-08-30T00:00:00.000Z,6.153439932,5.8698808095,485335136.160243,0.0,2020-08-30T23:59:59.999Z,6.2195064199,5.7499775264
11,2020-08-31T00:00:00.000Z,5.9059175882,6.3000202146,512604781.457396,0.0,2020-08-31T23:59:59.999Z,6.4593767862,5.7729660481
12,2020-09-01T00:00:00.000Z,6.2988099046,6.2887665749,601527408.597063,0.0,2020-09-01T23:59:59.999Z,6.8388983909,6.1723239478
13,2020-09-02T00:00:00.000Z,6.2826862129,6.1394652407,584155027.672257,5234800947.37602,2020-09-02T23:59:59.999Z,6.4326524056,5.6574417851
14,2020-09-03T00:00:00.000Z,6.1311793043,5.7478677539,763663456.725131,4900906249.03192,2020-09-03T23:59:59.999Z,6.3180793113,5.6825901534
15,2020-09-04T00:00:00.000Z,5.7266101784,5.1460378917,845787793.236023,4387757398.22662,2020-09-04T23:59:59.999Z,5.9813948118,4.6267201601
16,2020-09-05T00:00:00.000Z,5.1360333806,4.1223125969,805800384.883967,3514880375.0138,2020-09-05T23:59:59.999Z,5.31178363,3.6534678523
17,2020-09-06T00:00:00.000Z,4.1370319259,4.7994679399,924160481.88266,4092255324.15976,2020-09-06T23:59:59.999Z,4.9016495889,3.7597453044
18,2020-09-07T00:00:00.000Z,4.7960477984,4.5946686447,675375182.71445,3917633675.14744,2020-09-07T23:59:59.999Z,4.8200033752,4.0326333687
